author	paragraphs	rhythmic	polarity analysis	polarity score
晏殊	酒醒人散得愁多	浣溪沙	positive	0.8986588587603621
晏殊	宿酒才醒厌玉卮	浣溪沙	negative	0.3802067891201435
晏殊	为别莫辞金盏酒，入朝须近玉炉烟	浣溪沙	negative	0.13917240500008532
晏殊	酒筵歌席莫辞频	浣溪沙	negative	0.17145277299780626
晏殊	鬓亸欲迎眉际月，酒红初上脸边霞	浣溪沙	positive	0.6671456481864184
晏殊	金盏酒，玉炉香	更漏子	negative	0.4279158434211038
晏殊	新酒熟，绮筵开	更漏子	negative	0.15215645484278484
晏殊	斟绿酒、掩红巾	凤衔杯	positive	0.734174670525185
晏殊	劝君绿酒金杯	清平乐	positive	0.5890711243182442
晏殊	酒阑人散忡忡	清平乐	negative	0.4737672181921908
晏殊	绿酒初尝人易醉	清平乐	positive	0.9112680189187657
晏殊	须知一盏花前酒，占得韶光	采桑子	negative	0.03872043034064321
晏殊	把酒攀条惜绛蕤	采桑子	positive	0.9078732925398209
晏殊	泪滴春衫酒易醒	采桑子	positive	0.7028326957238816
晏殊	中夜酒初醒	喜迁莺	negative	0.3095751637265377
晏殊	前欢往事，当歌对酒，无限到心中	少年游	positive	0.9996140037466293
晏殊	若有一杯香桂酒，莫辞花下醉芳茵	酒泉子	positive	0.8405171078105799
晏殊	把酒看花须强饮，明朝后日渐离披	酒泉子	negative	0.24065902448501741
晏殊	有情无意且休论，莫向酒杯容易散	木兰花・玉楼春	positive	0.8260718666435646
晏殊	美酒一杯谁与共	木兰花・玉楼春	negative	0.43312986017287625
晏殊	红日长时添酒困	木兰花・玉楼春	negative	0.28761426009385893
晏殊	画堂元是降生辰，玉盏更斟长命酒	木兰花・玉楼春	positive	0.5704818897247739
晏殊	红衫侍女频倾酒	木兰花・玉楼春	positive	0.6101176749075327
晏殊	百分芳酒祝长春，再拜敛容抬粉面	木兰花・玉楼春	positive	0.9946085596320914
晏殊	青梅煮酒斗时新	诉衷情	positive	0.7677578313702724
晏殊	斟美酒，祝芳筵	诉衷情	positive	0.8201698659714539
晏殊	榴花寿酒，金鸭炉香，岁岁长新	诉衷情	positive	0.9022511470072216
晏殊	玉酒频倾，宿眉愁聚	人娇	positive	0.7315599858292039
晏殊	斟寿酒、重唱妙声珠缀	人娇	positive	0.8124209387359008
晏殊	当歌对酒莫沈吟，人生有限情无限	踏莎行	positive	0.983428286146864
晏殊	一场愁梦酒醒时，斜阳却照深深院	踏莎行	positive	0.9978939234122252
晏殊	谁唤谢娘斟美酒	渔家傲	positive	0.8201698659714549
晏殊	美酒一杯留客宴	渔家傲	negative	0.14558819663139844
晏殊	试折乱条醒酒困	渔家傲	negative	0.04875414264033262
晏殊	仙酒斟云液，仙歌转绕梁虹	望仙门	positive	0.9795368992669471
晏殊	满酌兰英酒，须知献寿千春	望仙门	negative	0.17058885334347373
晏殊	宿酒醒来，不记归时节	蝶恋花	negative	0.14780970783335212
晏殊	中夜梦馀消酒困	蝶恋花	positive	0.5880060649749622
晏殊	斟美酒，至心如对月中人	拂霓裳	positive	0.8880774740822007
晏殊	看时斟美酒	菩萨蛮	positive	0.8564928607839642
晏殊	摘承金盏酒	菩萨蛮	negative	0.3699479042924504
晏殊	萧娘劝我杯中酒	秋蕊香	negative	0.1175767426955091
晏殊	今朝有酒今朝醉	秋蕊香	positive	0.8140701019902239
晏殊	有酒且醉瑶觥	相思儿令	positive	0.8731012380415991
晏殊	兰堂把酒留嘉客	滴滴金	negative	0.1059090682312116
晏殊	云衫侍女，频倾寿酒，加意动笙簧	燕归梁	positive	0.8415831449514388
晏殊	斟美酒、泛觥船	燕归梁	positive	0.7454706071169234
晏殊	玉酒频倾，朱弦翠管，移宫易调	连理枝	positive	0.9788154851714582
张	待春来携酒殢东风，眠芳草	满江红	positive	0.6119915660320313
张	门外酒旗低迓	离亭燕・离亭宴	negative	0.3575528218482539
刘潜	六郡酒泉	水调歌头	positive	0.7590970359833027
李冠	愁破酒阑闺梦熟	蝶恋花	positive	0.8999950989153785
谢绛	酒阑思翠被	菩萨蛮	positive	0.8959615572190156
宋祁	至如今，始惜月满、花满、酒满	浪淘沙近・浪淘沙	negative	0.26178561824204905
宋祁	为君持酒劝斜阳，且向花间留晚照	玉楼春	negative	0.13785229529244436
尹洙	不用移舟酌酒，自有青山渌水，掩映似潇湘	水调歌头	negative	0.29081976167938084
欧阳修	昔者王子猷之爱竹，造门不问于主人，陶渊明之卧舆，遇酒便留于道士	西湖念语	positive	0.6469580429971176
欧阳修	画船载酒西湖好，急管繁弦	采桑子	positive	0.8318654070397677
欧阳修	荷花开后西湖好，载酒来时	采桑子	positive	0.7382251200329076
欧阳修	水面风来酒面醒	采桑子	negative	0.19321950012118716
欧阳修	把酒何人忆谢公	采桑子	negative	0.4159449410049456
欧阳修	酒后轻寒不著人	减字木兰花	positive	0.8165121873805237
欧阳修	满坐迷魂酒半醺	减字木兰花	positive	0.7538845958241939
欧阳修	酒入横波，困不禁烦恼	蝶恋花	positive	0.995720276053624
欧阳修	中夜梦馀消酒困	蝶恋花	positive	0.5880060649749622
欧阳修	春愁酒病成惆怅	蝶恋花	positive	0.845825378465169
欧阳修	宿酒醒来，不记归时节	蝶恋花	negative	0.14780970783335212
欧阳修	对酒当歌，强饮还无味	蝶恋花	positive	0.636699564805991
欧阳修	酒美宾嘉真胜赏	渔家傲	negative	0.07817189690290427
欧阳修	酒盏旋将荷叶当。花气酒香清厮酿。花腮酒面红相向	渔家傲	negative	0.08476332240106532
欧阳修	美酒一杯花影腻	渔家傲	negative	0.19021280889957437
欧阳修	对酒当歌劳客劝	渔家傲	negative	0.06004230749914863
欧阳修	高楼把酒愁独语	玉楼春	positive	0.9292541936201975
欧阳修	烟暖风和添酒味	玉楼春	negative	0.36119737835601895
欧阳修	舞馀裙带绿双垂，酒入香腮红一抹	玉楼春	positive	0.9644931489680315
欧阳修	把酒已嗟春色暮	玉楼春	negative	0.1371349899804244
欧阳修	百分芳酒祝长春，再拜敛容抬粉面	玉楼春	positive	0.9946085596320914
欧阳修	青春才子有新词，红粉佳人重劝酒	玉楼春	positive	0.9718374892560041
欧阳修	北枝梅蕊犯寒开，南浦波纹如酒绿	玉楼春	positive	0.8453221906940759
欧阳修	红日长时添酒困	玉楼春	negative	0.28761426009385893
欧阳修	酒美春浓花世界	玉楼春	positive	0.93074675276655
欧阳修	把酒临风千万恨	玉楼春	negative	0.19071612391434334
欧阳修	当筵莫放酒杯迟，乐事良辰难入手	玉楼春	positive	0.8878504737616235
欧阳修	聊对酒	渔家傲	negative	0.3182952683662357
欧阳修	菖蒲酒美清尊共	渔家傲	positive	0.6527159570722515
欧阳修	惟有酒能欺雪意	渔家傲	negative	0.3668784629463424
欧阳修	酒侵花脸娇波慢	渔家傲	negative	0.40994846195649803
欧阳修	宿酒半醒新睡觉	渔家傲	positive	0.5208067997976805
欧阳修	睡起日高堆酒兴	渔家傲	negative	0.12004608255605309
欧阳修	把酒遣愁愁已去。风吹酒力愁还聚	渔家傲	positive	0.9964118528897434
欧阳修	便好开尊夸酒量。酒阑莫遣笙歌放	渔家傲	positive	0.9053022718593694
欧阳修	乳鸡酒燕，落星沈月，紞紞城头鼓	御街行	positive	0.8740107622155807
欧阳修	好酒能消光景，春风不染髭鬚	圣无忧・乌夜啼	positive	0.7105625257588947
欧阳修	把酒祝东风	浪淘沙	positive	0.8345290609292542
欧阳修	纵使花时常病酒，也是风流	浪淘沙	negative	0.36896234460360333
欧阳修	把酒花前欲问他	定风波	positive	0.5863245063258972
欧阳修	把酒花前欲问伊	定风波	positive	0.6568367231528571
欧阳修	把酒花前欲问公。待得酒醒君不见	定风波	positive	0.6686672595171607
欧阳修	把酒花前欲问君	定风波	positive	0.9170746637007053
欧阳修	把酒送春惆怅甚	定风波	positive	0.914976439029583
欧阳修	对酒追欢莫负春	定风波	negative	0.09947420540033614
欧阳修	天涯情绪，对酒且开颜，春宵短	蓦山溪	positive	0.9727908167851396
欧阳修	青杏园林著酒香	浣溪沙	positive	0.8531750538051006
欧阳修	酒醺红粉自生香	浣溪沙	positive	0.637137491829652
欧阳修	十载相逢酒一卮	浣溪沙	negative	0.3137056998607457
欧阳修	戴花持酒祝东风	鹤冲天	positive	0.971363426613368
欧阳修	酒阑欢罢不成归，肠断月斜春老	忆汉月	negative	0.36005940646649415
欧阳修	手把金尊酒，未饮先如醉	千秋岁	negative	0.4159909155295377
欧阳修	舞态歌阑，困偎香脸，酒红微带	鼓笛慢・水龙吟	positive	0.8337456705934302
欧阳修	酒力融融香汗透	蝶恋花	negative	0.4415090270668808
欧阳修	酒醒明月空床满	一斛珠	positive	0.5703516648049248
欧阳修	发妆酒冷重温过	惜芳时・思归乐	positive	0.8344217784465336
欧阳修	除只把、芳尊强开颜，奈酒到愁肠，醉了还醒	洞仙歌令・洞仙歌	positive	0.792545023079449
欧阳修	红玉困春酒	滴滴金	positive	0.7651811076472161
欧阳修	酒阑歌罢，一度归时，一度魂消	诉衷情	positive	0.9841040271235362
欧阳修	离怀酒病两忡忡	诉衷情	positive	0.5705046044402424
欧阳修	银缸照客酒方酣，玉漏催人街已禁	玉楼春	negative	0.05094441414587347
欧阳修	把酒花前欲问伊	定风波	positive	0.6568367231528571
欧阳修	把酒拈花重发愿	减字木兰花	negative	0.23683580819855277
欧阳修	花片落时粘酒盏，柳条低处拂人头	望江南・忆江南	negative	0.3694391054135925
欧阳修	倾贺酒	渔家傲	negative	0.3324602512641689
王琪	把酒花前欲问天。酒阑清泪滴朱弦	定风波	positive	0.9191941133262066
王琪	江南酒，何处味偏浓	望江南・忆江南	negative	0.09897396620077059
王琪	山下孤烟渔市晓，柳边疏雨酒家深	望江南・忆江南	positive	0.9980566055991822
杜安世	和酒病、双眉长聚	剔银灯	negative	0.21270991843231468
杜安世	酒醒暗思量，无个事、甚刚烦恼	菊花新	positive	0.7210854083128324
元绛	佳人再拜抬娇面，敛红巾、捧金杯酒	映山红慢	negative	0.24122568563633828
韩维	绿蚁新浮酒面	西江月	positive	0.8076185364798891
韩维	□□□情近酒□	减字木兰花	positive	0.8602224674131121
韩维	天将佳景与闲人，美酒宁嫌华皓	胡捣练令・胡捣练	negative	0.10574763870822301
曾巩	攀赏处、宜酒卮	赏南枝	negative	0.4900261264470057
司马光	笙歌散后酒初醒	西江月	positive	0.5572267305393518
裴湘	青楼弦管酒如渑	浪淘沙	positive	0.621482987771587
滕甫	拍索闷怀添酒兴	蝶恋花	negative	0.14708010920694703
王安石	归帆去棹残阳里，背西风、酒旗斜矗	桂枝香	positive	0.5045742626183923
王安石	若有一卮芳酒，逍遥自在无妨	清平乐	positive	0.876617501621905
王安石	酒入琼姬半醉	西江月	positive	0.5813815724933697
王安石	把酒祝东风，且莫恁、匆匆去	生查子	positive	0.6409409296123961
王安石	南陌酒香梅小	谒金门	positive	0.9417560624222522
王安石	飘零酒一杯	菩萨蛮	negative	0.22076280126080083
王安石	梦阑时，酒醒后，思量著	千秋岁引	positive	0.7717948473293404
吴氏1	待得明年重把酒	定风波	positive	0.7900506045262559
郑獬	把酒对江梅，花小未禁风力	好事近	negative	0.49728644061964455
范纯仁	公方结客寻佳景，我亦忘形趁酒杯	鹧鸪天	positive	0.8205552754142325
张才翁	相聚里，休辞金盏，酒浅还深	雨中花・夜行船	negative	0.47931445408733286
韦骧	金貂贳酒	减字木兰花	positive	0.8372345164633865
晏几道	酒醒长恨锦屏空	临江仙	positive	0.6348935769441878
晏几道	浅酒欲邀谁劝，深情惟有君知	临江仙	positive	0.9714263070927838
晏几道	渌酒尊前清泪，阳关叠里离声	临江仙	negative	0.22471529537267387
晏几道	梦后楼台高锁，酒醒帘幕低垂	临江仙	negative	0.21514842780319554
晏几道	酒筵歌席莫辞频	临江仙	negative	0.17145277299780626
晏几道	新酒又添残酒困	蝶恋花	negative	0.3537114131661251
晏几道	试倚凉风醒酒面	蝶恋花	negative	0.12808445012291336
晏几道	衣上酒痕诗里字	蝶恋花	positive	0.7348051094680611
晏几道	宿酒醒迟，恼破春情绪	蝶恋花	negative	0.35190756230894205
晏几道	酒阑纨扇有新诗	鹧鸪天	positive	0.8861016941884362
晏几道	西楼酒面垂垂雪，南苑春衫细细风	鹧鸪天	negative	0.23194454637657536
晏几道	清颍尊前酒满衣	鹧鸪天	negative	0.39197169157213474
晏几道	歌中醉倒谁能恨，唱罢归来酒未消	鹧鸪天	positive	0.999441832833084
晏几道	朱弦曲怨愁春尽，渌酒杯寒记夜来	鹧鸪天	positive	0.9942913518712598
晏几道	歌渐咽，酒初醺	鹧鸪天	positive	0.8004683864385904
晏几道	无计奈情何，且醉金杯酒	生查子	positive	0.7698712071449049
晏几道	一分残酒霞，两点愁蛾晕	生查子	positive	0.6684473288570024
晏几道	深深美酒家，曲曲幽香路	生查子	positive	0.9945050459522892
晏几道	藏钩赌酒归迟	清平乐	positive	0.758859168501958
晏几道	红楼桂酒新开	清平乐	positive	0.9143482776908974
晏几道	金钗换酒消愁	清平乐	negative	0.46060753046641767
晏几道	酒阑画烛低迷	清平乐	positive	0.5388911497033105
晏几道	笑捧金船酒	清平乐	positive	0.5145658987961808
晏几道	寒催酒醒	清平乐	positive	0.512199204156669
晏几道	脸边霞散酒初醒，眉上月残人欲去	木兰花・玉楼春	positive	0.8412273407229187
晏几道	画眉匀脸不知愁，殢酒熏香偏称小	木兰花・玉楼春	negative	0.1546560181038521
晏几道	酒罢凄凉	减字木兰花	positive	0.9410848358710829
晏几道	酒色上来迟	菩萨蛮	negative	0.3410962432351785
晏几道	琼酥酒面风吹醒	玉楼春	negative	0.045298804931758196
晏几道	雪窗休记夜来寒，桂酒已消人去恨	玉楼春	positive	0.6268723520988354
晏几道	归来双袖酒成痕，小字香笺无意展	玉楼春	positive	0.891991051012414
晏几道	愁肠待酒舒	阮郎归	positive	0.6558405861356091
晏几道	赏心多是酒中仙	浣溪沙	positive	0.5735881810557381
晏几道	家近旗亭酒易酤	浣溪沙	negative	0.49343642438587587
晏几道	溅酒滴残歌扇字，弄花熏得舞衣香	浣溪沙	negative	0.020723759597205627
晏几道	怅恨不逢如意酒，寻思难值有情人	浣溪沙	positive	0.9424604244096403
晏几道	绿酒细倾消别恨，红笺小写问归期	浣溪沙	positive	0.9752287161833039
晏几道	腮粉月痕妆罢后，脸红莲艳酒醒前	浣溪沙	positive	0.8331039047323309
晏几道	还是芳酒杯中，一醉光阴促	六么令	positive	0.9888945108242604
晏几道	春罗薄，酒醒寒	愁倚阑令・春光好	positive	0.6112751331951236
晏几道	美酒十分谁与共，玉指持觞	浪淘沙	positive	0.6175147030978745
晏几道	酌酒殷勤	好女儿	positive	0.7888749727743369
晏几道	泪痕和酒	点绛唇	negative	0.3324602512641689
晏几道	幸有花前，一杯芳酒，欢计莫匆匆	少年游	positive	0.8871576224923169
晏几道	当年此处，闻歌殢酒，曾对可怜人	少年游	negative	0.4300300895639497
晏几道	黄花绿酒分携后，泪湿吟笺	采桑子	positive	0.9613744944333954
晏几道	高吟烂醉淮西月，诗酒相留	采桑子	positive	0.5986597140779787
晏几道	此恨谁堪共说，清愁付、绿酒杯中	满庭芳	positive	0.7424034322122043
晏几道	水湿红裙酒初消，又记得、南溪事	留春令	negative	0.4241893482083423
晏几道	强欢殢酒图消遣，到醒来、愁闷还重	风入松	positive	0.6279735253618485
晏几道	谁共一杯芳酒	秋蕊香	positive	0.5490862675541317
晏几道	对酒当歌寻思著	醉落魄・一斛珠	positive	0.898549129668639
晏几道	素衣染尽天香，玉酒添成国色	望仙楼・胡捣练	negative	0.2236096969321414
晏几道	酒醒迟来晚	忆闷令	negative	0.3327240466866659
晏几道	酒边红日初长，陌上飞花正满	扑蝴蝶	positive	0.8151404212993011
晏几道	夜来酒醒清无梦，愁倚阑干	丑奴儿・采桑子	positive	0.9654600850554177
王观	进酒犹呼万岁	清平乐	negative	0.49315027246805265
王观	勾牵春事不如梅，断送离人强似酒	木兰花令	positive	0.6418020868963661
王观	遇酒追朋笑傲。幸新来、有酒如渑，结千秋歌笑	红芍药	positive	0.9860763229166515
王观	酒深歌拍缓，愁入翠眉长	临江仙	positive	0.9703163450509344
王安礼	青梅煮酒，幸随分、赢得高歌	潇湘忆故人慢	positive	0.9849536850054974
张舜民	十分斟酒敛芳颜	卖花声	positive	0.9831588256586967
曾布	从来嗜酒，还家镇长酩酊狂酲	水调歌头	negative	0.20158456562279792
魏夫人	把酒临风千种恨	定风波	positive	0.8898778330538577
魏夫人	波上清风，画船明月人归后，渐消残酒	点绛唇	positive	0.9943377596035603
王仲甫	劝得官家真个醉，进酒犹呼万岁	清平乐	positive	0.7810955450060915
王仲甫	相思病酒，只因思此，免使文君眉皱。争如向、金盘满捧，共君王对酒	永遇乐	positive	0.7262530218002131
王仲甫	风勾月引，催上泛宅时，酒倾玉，脍堆雪，总道神仙侣	蓦山溪	positive	0.6971339929651709
孙浩然	烟外酒旗低亚	离亭燕・离亭宴	negative	0.47597060722147544
王诜	更相将、乘酒兴，幽情多少	踏青游	positive	0.9854147793457597
王诜	烛影摇红向夜阑，乍酒醒、心情懒	忆故人・烛影摇红	negative	0.06595551195848093
王诜	有竹间风，尊中酒，水边床	行香子	negative	0.36496876709294435
王诜	带了黄花，强饮茱萸酒	失调名	positive	0.6491885642342573
陈济翁	宝津南殿，宴坐近天颜，金杯酒，君王劝	蓦山溪	positive	0.9957708507216805
苏轼	八表神游，浩然相对，酒酣箕踞	水龙吟	negative	0.3352915032216339
苏轼	山中友，鸡豚社酒，相劝老东坡	满庭芳	positive	0.9902345737917478
苏轼	江南好，千锺美酒，一曲《满庭芳》	满庭芳	positive	0.9350968995034208
苏轼	我醉歌时君和，醉倒须君扶我，惟酒可忘忧	水调歌头	positive	0.999216033051421
苏轼	明月几时有，把酒问青天	水调歌头	negative	0.4270177181595679
苏轼	一尊酒，黄河侧	满江红	negative	0.07741964770211629
苏轼	恐异时、杯酒忽相思，云山隔	满江红	negative	0.05589996520034757
苏轼	有国艳带酒，天香染袂，为我留连	雨中花・夜行船	negative	0.20479744116254917
苏轼	把酒何人心动	西江月	positive	0.7750176505456842
苏轼	灯花零落酒花秾	西江月	negative	0.09596545311000881
苏轼	酒阑不必看茱萸	西江月	positive	0.629751393433326
苏轼	酒贱常愁客少，月明多被云妨	西江月	negative	0.47554380361089854
苏轼	拍浮何用酒为池	西江月	positive	0.8359360170538978
苏轼	酒阑清梦觉，春草满池塘	临江仙	positive	0.8837800153535105
苏轼	尊酒何人怀李白，草堂遥指江东。夜阑对酒处，依旧梦魂中	临江仙	positive	0.7926285397457575
苏轼	酒醒梦回清漏永，隐床无限更潮	临江仙	positive	0.9845150307146718
苏轼	明朝酒醒知何处，肠断云间《紫玉箫》	鹧鸪天	positive	0.5644398742906616
苏轼	兰条荐浴，菖花酿酒，天气尚清和。好将沈醉酬佳节，十分酒、一分歌	少年游	positive	0.9294518972295164
苏轼	对酒卷帘邀明月，风露透窗纱	少年游	negative	0.19312114981809947
苏轼	料峭春风吹酒醒	定风波	negative	0.35796413624984136
苏轼	清阴微过酒尊凉	定风波	negative	0.21752490249320522
苏轼	休把闲心随物态，何事，酒生微晕沁瑶肌	定风波	positive	0.7550959757837654
苏轼	蹋散芳英落酒卮。花尽酒阑春到也，离离	南乡子	positive	0.7156772335369997
苏轼	满院黄英映酒杯	南乡子	negative	0.47009225953328104
苏轼	酒力渐消风力软，飕飕	南乡子	positive	0.6067387922899081
苏轼	卯酒醒还困，仙材梦不成	南乡子	positive	0.5203420352283292
苏轼	带酒冲山雨，和衣睡晚晴	南歌子	negative	0.09992404606803484
苏轼	酒阑人散月侵廊	南歌子	negative	0.34320015241965574
苏轼	寒食后，酒醒却咨嗟。诗酒趁年华	望江南・忆江南	positive	0.9392065826127666
苏轼	白酒新开九酝，黄花已过重阳	十拍子・破阵子	negative	0.4565878558106454
苏轼	尽倒琼壶酒，献金鼎药，固大椿年	戚氏	negative	0.412327762416995
苏轼	若待得君来向此，花前对酒不忍触	贺新郎	negative	0.06602370797073531
